Categoría,Código,Producto,Precio (Miles de Pesos)
EQUIPOS ENSAMBLADOS,51253,POWER CL-X18 V.T.+4ARC/B/RYZ 5 5600GT+16GB D4+NvMe 512GB+600W B2+AS20M WIFI+ASUS 24" IPS FHD (1ms=146Hz)+T+M 801 RGB,2619
EQUIPOS ENSAMBLADOS,51257,POWER CL-X18 V.T.+4ARC/B/RYZ 5 5600GT+16GB D4+NvMe 512GB+600W B2+ASUS TDF AS20M WIFI+ASUS 24" IPS FHD (1ms=146Hz)+T+M GENIUS KM-170,2619
EQUIPOS ENSAMBLADOS,51229,CAJA POWER CL-W82 V.T.+4ARC/B/RYZ 5 5600GT+16GB D4+B550M WIFI+600W B2+NvMe 512GB+20M WIFI+ASUS 24" IPS FHD (1ms=146Hz)+T+M 801 RGB,2725
EQUIPOS ENSAMBLADOS,51242,COUGAR MX220 V.T.+4ARC/B/RYZ 5 8500GT+16GB D5+B650M-A WIFI+NvMe 500GB+GIABYTE 24" SSIPS FHD (1ms=200Hz)+T+M EVC MK102R,2859
EQUIPOS ENSAMBLADOS,51259,COUGAR AIRFACE V.T.+4ARC BFLIO/RYZ 5 8500GT+16GB D5+RGB+B650 WIFI+650W B2+NvMe 480W+MST 24" IPS FHD (0.5ms=200Hz)+T+M+EVC MK102R,2859
EQUIPOS ENSAMBLADOS,51254,POWER CL-X18 V.T.+4ARC/B/RYZ 5 7500GT+16GB D4 RGB+NvMe 512GB+600W B2+AS20M WIFI+ASUS 24" IPS FHD (1ms=146Hz)+T+M 801 RGB,2949
EQUIPOS ENSAMBLADOS,51260,COUGAR AIRFACE V.T.+4ARC BFLIO/RYZ 5 8600GT+16GB D5+RGB+NvMe 480GB+B650 WIFI+650W B2+MST 24" IPS FHD (0.5ms=200Hz)+T+M+EVC MK102R,3049
EQUIPOS ENSAMBLADOS,51231,CAJA POWER CL-W82 V.T.+4ARC/B/RYZ 5 7500GT+16GB D4 RGB+B550M WIFI+NvMe 512GB+20M WIFI+ASUS 24" IPS FHD (1ms=146Hz)+T+M 801 RGB,3049
WEBCAM,60047,CAMARA WEB LOGITECH MB RIO 4K ULTRA HD,749
WEBCAM,62047,CAMARA WEB LOGITECH MB RIO 4K ULTRA HD,749
WEBCAM,62047,CAMARA WEB C922 PRO HD STREAM WEBCAM 1080p HD 60fps TRIPO,339
STREAMING,59005,ELGATO STREAM DECK MINI,289
STREAMING,45565,ELGATO MICROFONO WAVE NEO BLANCO,329
STREAMING,59010,ELGATO STREAM DECK XL CONTROL DE CONTENIDO USB,1209
STREAMING,59018,ELGATO CAPTURADORA DE VIDEO GAME CAPTURE 4K PRO,1365
STREAMING,59015,PANEL CONTROL ELGATO STREAM DECK NEO/ 8 TECLAS LCD,459
